ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
-0.39066613,0.4391982,-0.4802081,0.3247347,0,10.0,-2.5019426,0.4,-36.5,500.0,0.2870786190032959,6.834054470062256,24.144088983535767,157.92785167694092,2500,-0.75036156,0.032219574,50.0,0.06,-45.8,2500.0,1.2769713,0.55516505,0.3505899,-0.0009904839,0.513563,-0.48246777,0.32296163
-0.3649904,0.4221704,-0.46026984,0.31808826,1,20.0,-3.7413921,0.3,-35.0,1000.0,0.2644791603088379,6.404891014099121,23.85351324081421,144.6885802745819,5000,-1.2112482,0.024485992,100.0,0.06,-46.42,5000.0,2.1505167,0.63897127,0.39215195,0.043272734,0.4869712,-0.46103108,0.3172416
-0.302111,0.43861884,-0.3804503,0.3722396,2,30.0,-4.2903466,0.3,-35.4,1500.0,0.27820873260498047,6.4703590869903564,24.28434944152832,147.71181082725525,7500,-1.6815053,0.029496806,150.0,0.18,-41.94,7500.0,2.4186542,0.6410413,0.36870465,0.030220283,0.5022148,-0.3808885,0.3719701
-0.28596723,0.42377675,-0.36431724,0.35147217,3,40.0,-7.764025,0.1,-45.2,2000.0,0.2522258758544922,6.564831495285034,24.27213764190674,146.0068359375,10000,-1.9712008,0.032894805,200.0,0.26,-39.9,10000.0,2.4022202,0.6672185,0.3912389,0.028104298,0.49243578,-0.3644809,0.35244292
-0.252107,0.43211,-0.32215905,0.3679772,4,50.0,-6.823152,0.2,-40.0,2500.0,0.2574269771575928,6.451021909713745,24.435259580612183,144.97196340560913,12500,-2.2041752,0.037333407,250.0,0.24,-39.68,12500.0,2.357875,0.6556455,0.3908438,0.020494131,0.5011395,-0.32187197,0.36859366
-0.21846665,0.43552083,-0.28250703,0.38333365,5,60.0,-7.27809,0.3,-35.0,3000.0,0.2612175941467285,6.5031349658966064,24.254319429397583,145.41883373260498,15000,-2.3349872,0.040668182,300.0,0.3,-39.14,15000.0,2.258413,0.7037285,0.37914276,0.020881353,0.49422926,-0.28212875,0.38419336
-0.20948759,0.43205437,-0.26770964,0.38161957,6,70.0,-9.06649,0.1,-44.4,3500.0,0.23615360260009766,6.403689384460449,24.132505416870117,145.19829034805298,17500,-2.469961,0.046151534,350.0,0.28,-36.88,17500.0,2.2314339,0.64880764,0.39510718,0.008272396,0.49589056,-0.26762652,0.38272202
-0.1848434,0.44028735,-0.23753935,0.3968435,7,80.0,-6.0697904,0.2,-40.0,4000.0,0.23869657516479492,6.43025541305542,23.999337196350098,145.34695625305176,20000,-2.5270727,0.04851376,400.0,0.48,-33.04,20000.0,2.1602604,0.63697255,0.38698286,0.012460326,0.49462643,-0.23794839,0.3974678
-0.15277949,0.4450262,-0.19811134,0.409078,8,90.0,-4.8280263,0.5,-28.0,4500.0,0.2691841125488281,6.41300106048584,23.926972150802612,144.9423177242279,22500,-2.5434635,0.05331161,450.0,0.38,-35.26,22500.0,2.1094887,0.679461,0.38231868,0.015281974,0.4951126,-0.1990438,0.4091433
-0.13472155,0.44735977,-0.17470452,0.4139309,9,100.0,-5.447356,0.7,-19.9,5000.0,0.2933056354522705,6.404938697814941,24.092730283737183,144.7059314250946,25000,-2.5908346,0.057378724,500.0,0.36,-38.66,25000.0,2.071371,0.64569163,0.37398028,0.012882639,0.49624795,-0.1762564,0.41359168
