ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
0.15723875,0.48263046,0.19315724,0.46733612,0,10.0,-3.3818512,0.0,-49.0,500.0,0.5773265361785889,12.4749915599823,70.58509731292725,848.1810760498047,2500,-0.77310103,0.04189626,50.0,0.2,-40.66,2500.0,0.0051018447,0.11953466,0.072108574,0.015575319,0.5270518,0.19495496,0.4655102
0.07633948,0.49019632,0.09782357,0.47992337,1,20.0,-4.250278,0.0,-49.0,1000.0,0.8722310066223145,11.99641752243042,67.22316837310791,806.9723148345947,5000,-1.1268048,0.034525804,100.0,0.18,-40.88,5000.0,0.0015038623,0.13733971,0.13181286,0.0116279395,0.51880723,0.0991912,0.47883198
0.14509347,0.490821,0.172696,0.482522,2,30.0,-3.5386682,0.5,-29.6,1500.0,0.6842405796051025,11.352957010269165,66.11737084388733,771.5804040431976,7500,-1.3152815,0.03654635,150.0,0.38,-34.82,7500.0,0.0033146713,0.26798102,0.22784838,0.056047436,0.51222485,0.17317325,0.48200208
0.07847661,0.5188509,0.09826577,0.51722914,3,40.0,-8.100771,0.1,-46.1,2000.0,0.43871235847473145,9.677865266799927,54.91773271560669,662.7182197570801,10000,-1.4356688,0.038158324,200.0,0.4,-32.64,10000.0,0.005198952,0.17321654,0.13251494,0.015287727,0.5166495,0.09873395,0.5175637
0.05249238,0.52202725,0.06684373,0.5204655,4,50.0,-7.8702164,0.1,-44.6,2500.0,0.4431877136230469,9.178142786026001,55.76815748214722,670.8032672405243,12500,-1.5664668,0.03886271,250.0,0.44,-31.18,12500.0,0.007665335,0.34488544,0.3629187,0.012770576,0.5210452,0.06718609,0.5207259
0.052951608,0.51900774,0.06938995,0.515128,5,60.0,-9.073577,0.2,-40.1,3000.0,0.6789979934692383,9.476528406143188,55.46424889564514,671.2779440879822,15000,-1.6881318,0.04268811,300.0,0.4,-33.58,15000.0,0.010956543,0.39738637,0.26754534,0.008294405,0.52227724,0.069778256,0.51548904
0.050862383,0.5071176,0.06590777,0.5007921,6,70.0,-5.879428,0.5,-25.8,3500.0,0.6031506061553955,9.701064348220825,57.21467733383179,678.9284813404083,17500,-1.8116558,0.044979535,350.0,0.3,-36.62,17500.0,0.016506262,0.47030294,0.43641078,0.0084933145,0.5192765,0.06660898,0.5013133
0.038514197,0.508144,0.051654533,0.5023167,7,80.0,-5.1330194,0.3,-35.5,4000.0,0.4585437774658203,9.592235326766968,54.43313384056091,670.303071975708,20000,-1.8681847,0.04781624,400.0,0.46,-31.0,20000.0,0.024869049,0.5776714,0.5811212,0.001091243,0.5181603,0.052014917,0.5031655
0.03432958,0.49645218,0.044163186,0.48829877,8,90.0,-8.55034,0.1,-44.5,4500.0,0.484346866607666,9.490957975387573,55.56628680229187,682.0661859512329,22500,-1.9409232,0.04758657,450.0,0.36,-34.6,22500.0,0.032717608,0.92771626,0.6542947,0.004937143,0.51433647,0.044903375,0.4889698
0.02529696,0.48799077,0.033241358,0.47819108,9,100.0,-5.8340383,0.5,-26.8,5000.0,0.578545331954956,10.009230136871338,57.38263154029846,676.379554271698,25000,-1.9783745,0.0469941,500.0,0.4,-31.84,25000.0,0.040373247,0.54160523,0.41458786,0.001469311,0.5127417,0.033723872,0.47912997
