ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
0.02524583,0.34989706,0.063219756,0.21623096,0,10.0,-2.6031795,0.2,-40.6,500.0,0.3938467502593994,5.062942266464233,28.183902263641357,241.69164872169495,2500,-0.702819,0.031941373,50.0,0.06,-45.2,2500.0,2.0072641,0.69325805,0.8544712,-0.1543242,0.38431627,0.06115073,0.2162281
0.06830229,0.39460403,0.10453884,0.33696404,1,20.0,-5.275029,0.1,-45.4,1000.0,0.37429141998291016,5.126404047012329,29.891327381134033,242.46681785583496,5000,-1.0036805,0.02181494,100.0,0.32,-38.88,5000.0,0.27224708,1.0126559,1.0500032,-0.06040991,0.42352745,0.1043798,0.3345811
0.090571284,0.48813564,0.119983874,0.48002762,2,30.0,-3.1412733,0.6,-23.6,1500.0,0.3988165855407715,5.228843927383423,30.500959396362305,243.11305212974548,7500,-1.5411406,0.026991764,150.0,0.16,-42.22,7500.0,0.3206218,1.4308658,1.2538553,-0.020308658,0.46065938,0.119863704,0.47992182
0.082912646,0.45802397,0.10531747,0.44567734,3,40.0,-6.646287,0.1,-44.4,2000.0,0.3564720153808594,4.928038120269775,29.87126851081848,240.49695372581482,10000,-2.0110087,0.031831615,200.0,0.08,-45.48,10000.0,0.35826698,2.1195543,1.4342684,-0.0016924888,0.47430354,0.10634928,0.4449989
0.07978578,0.44676158,0.09491286,0.43255085,4,50.0,-8.173762,0.2,-40.7,2500.0,0.4020264148712158,4.959739685058594,30.103249073028564,241.42120742797852,12500,-2.2684922,0.034017287,250.0,0.38,-34.22,12500.0,0.30605927,1.1602281,0.7843121,0.018596523,0.4760289,0.09556747,0.43243772
0.041331746,0.45605928,0.053490132,0.44425243,5,60.0,-6.7102613,0.2,-39.9,3000.0,0.3429255485534668,5.030334949493408,29.982000827789307,241.15773701667786,15000,-2.3208656,0.036401242,300.0,0.5,-30.3,15000.0,0.29222372,1.8671135,1.343959,-0.0068762414,0.4818622,0.053663857,0.4439782
0.014556438,0.45350465,0.021894187,0.4413959,6,70.0,-9.3494215,0.2,-39.9,3500.0,0.33879923820495605,4.990875244140625,30.058054447174072,241.70556211471558,17500,-2.3292446,0.040850338,350.0,0.34,-36.54,17500.0,0.3445911,1.3351105,1.4128691,-0.019719938,0.48043656,0.022144668,0.44098753
0.012209907,0.46605676,0.018869005,0.4538862,7,80.0,-8.888918,0.1,-44.7,4000.0,0.3184783458709717,5.1002678871154785,30.27520251274109,240.97941541671753,20000,-2.4003925,0.043140307,400.0,0.44,-34.92,20000.0,0.3589065,1.6364309,1.4796661,-0.023960182,0.49244508,0.019286305,0.45373163
0.01973138,0.46611172,0.026901849,0.45476526,8,90.0,-7.3230247,0.1,-44.1,4500.0,0.3271365165710449,4.989370107650757,30.240747928619385,242.06276869773865,22500,-2.4763548,0.045278814,450.0,0.38,-34.36,22500.0,0.39918917,2.0566525,1.6112262,-0.018134626,0.49048477,0.027185306,0.4547665
0.013226975,0.47022206,0.018916387,0.45929682,9,100.0,-10.186928,0.2,-41.0,5000.0,0.34554409980773926,5.051016330718994,30.294083833694458,243.08391165733337,25000,-2.5247588,0.050134584,500.0,0.5,-31.76,25000.0,0.42734513,1.6046395,1.4468648,-0.017320888,0.49228036,0.01933011,0.45916557
0.020096648,0.47490916,0.027115576,0.46376562,10,110.0,-11.209883,0.3,-37.5,5500.0,0.3444998264312744,5.077068328857422,30.60258984565735,243.3801441192627,27500,-2.5812397,0.048857484,550.0,0.58,-30.08,27500.0,0.43474776,2.2860904,1.5577819,-0.01602751,0.49570203,0.02776181,0.46374798
0.014604893,0.47791672,0.02081668,0.46770117,11,120.0,-8.633011,0.4,-32.6,6000.0,0.36435747146606445,5.006853818893433,30.16895818710327,243.1232168674469,30000,-2.5504546,0.050492004,600.0,0.52,-27.54,30000.0,0.45164073,2.5044188,1.4988344,-0.018992655,0.49711055,0.02146051,0.4675895
0.0038444512,0.47714654,0.008215476,0.46743494,12,130.0,-10.831169,0.1,-44.9,6500.0,0.32764267921447754,5.06722354888916,30.545525074005127,246.5782825946808,32500,-2.5425057,0.05057849,650.0,0.5,-30.2,32500.0,0.46470302,1.7343123,1.3235868,-0.024379505,0.49526864,0.008498218,0.46715063
-0.0018905476,0.47937262,0.0022717193,0.4696499,13,140.0,-7.8913207,0.6,-24.3,7000.0,0.36599063873291016,5.077703475952148,30.53565788269043,252.33858466148376,35000,-2.5778706,0.052156784,700.0,0.5,-33.48,35000.0,0.48979992,2.5076933,1.6747024,-0.029070893,0.49674806,0.0026547387,0.46961892
-0.0066661164,0.47922334,-0.0022825487,0.46905646,14,150.0,-7.1770926,0.7,-19.5,7500.0,0.3736875057220459,4.981783390045166,30.022465229034424,257.36397981643677,37500,-2.6002812,0.05077676,750.0,0.52,-28.42,37500.0,0.5090866,1.8064268,1.6501454,-0.03250011,0.4966595,-0.002196703,0.46912467
-0.008683296,0.47598353,-0.0052543096,0.4656309,15,160.0,-11.682885,0.2,-39.6,8000.0,0.320387601852417,5.103476285934448,30.50632071495056,257.9794201850891,40000,-2.5795178,0.050645802,800.0,0.6,-26.94,40000.0,0.49567217,3.0753613,1.6727024,-0.030715717,0.49426526,-0.0052945204,0.465627
-0.0037316848,0.4788032,-9.801425e-05,0.4692756,16,170.0,-7.09714,0.6,-24.5,8500.0,0.3906526565551758,5.055925369262695,30.488640069961548,260.27267599105835,42500,-2.5556948,0.051804394,850.0,0.58,-31.5,42500.0,0.5308804,2.2239192,1.7226291,-0.02586621,0.49548626,-0.00012328476,0.46930534
-0.008761026,0.48042968,-0.0055327266,0.47135675,17,180.0,-8.928914,0.4,-33.5,9000.0,0.35751795768737793,5.073566675186157,30.50200629234314,261.5288007259369,45000,-2.5777674,0.050365813,900.0,0.44,-33.26,45000.0,0.5588561,1.7308577,1.5429759,-0.03160891,0.49645013,-0.005766848,0.47138664
-0.0072142957,0.48342243,-0.004855262,0.47393966,18,190.0,-7.2312417,0.5,-28.6,9500.0,0.3467421531677246,5.005331039428711,30.30082082748413,262.919798374176,47500,-2.5914414,0.052427378,950.0,0.58,-29.66,47500.0,0.569091,1.9384338,1.5158993,-0.028738782,0.49937811,-0.0051905755,0.47401184
-0.0057595028,0.48278034,-0.0036063157,0.47314197,19,200.0,-9.211973,0.6,-25.8,10000.0,0.3640267848968506,5.168325901031494,30.552030324935913,263.7470543384552,50000,-2.5729492,0.053430937,1000.0,0.58,-29.2,50000.0,0.5730815,2.100067,1.6752946,-0.026789876,0.5000429,-0.0039987676,0.47328544
-0.010430351,0.48362058,-0.008792197,0.47394508,20,210.0,-12.536878,0.4,-31.9,10500.0,0.38369107246398926,5.0546369552612305,30.039903163909912,263.16082191467285,52500,-2.5832057,0.053579506,1050.0,0.66,-30.72,52500.0,0.5949545,2.7392569,1.7936629,-0.029479224,0.5007153,-0.009035455,0.47416228
-0.01018097,0.48273888,-0.009580651,0.4730099,21,220.0,-4.726217,0.9,-16.0,11000.0,0.4065284729003906,5.002195596694946,30.468265533447266,264.5848641395569,55000,-2.5841057,0.05440211,1100.0,0.6,-31.78,55000.0,0.6170725,2.2437713,1.4593452,-0.025462437,0.5006953,-0.009574488,0.47307968
-0.010339614,0.4829093,-0.010667615,0.4730984,22,230.0,-6.12845,0.7,-18.2,11500.0,0.3854176998138428,5.0947182178497314,30.563473224639893,264.3219952583313,57500,-2.5606449,0.05163111,1150.0,0.64,-29.26,57500.0,0.61821336,2.559142,1.513519,-0.022823706,0.5003029,-0.010649719,0.47317863
-0.010365427,0.48525813,-0.011035997,0.47578984,23,240.0,-4.6454744,0.8,-14.5,12000.0,0.3967270851135254,5.19610071182251,30.351510524749756,264.49560546875,60000,-2.5480042,0.05136934,1200.0,0.68,-28.08,60000.0,0.621375,2.165857,1.3119011,-0.022327166,0.5017445,-0.010785091,0.47573322
-0.011618202,0.48427022,-0.012525909,0.47527048,24,250.0,-12.103102,0.5,-33.6,12500.0,0.35599851608276367,5.099694728851318,30.514387130737305,265.7082533836365,62500,-2.5242903,0.05006883,1250.0,0.62,-27.94,62500.0,0.6353677,2.61546,1.7177267,-0.02209495,0.49985206,-0.012477837,0.47516596
-0.015829027,0.4840008,-0.018444836,0.47495687,25,260.0,-9.087027,0.5,-30.5,13000.0,0.3604316711425781,5.07256555557251,30.399213314056396,264.92002415657043,65000,-2.500461,0.048865356,1300.0,0.68,-30.26,65000.0,0.6458704,2.9529815,1.7740235,-0.022715729,0.499421,-0.018431433,0.47490123
-0.017434185,0.48426968,-0.020209407,0.4755432,26,270.0,-4.568938,0.8,-14.8,13500.0,0.38006591796875,5.218345880508423,30.74425220489502,265.347229719162,67500,-2.4900837,0.04825764,1350.0,0.62,-30.58,67500.0,0.6552834,2.3204508,1.6800828,-0.024121854,0.49900413,-0.020312365,0.47552687
-0.019657778,0.48408097,-0.024084162,0.47552088,27,280.0,-4.813754,0.8,-18.5,14000.0,0.40255069732666016,5.010798931121826,30.5710506439209,265.877539396286,70000,-2.486422,0.048452772,1400.0,0.62,-31.92,70000.0,0.6729054,2.219151,1.7010251,-0.02340658,0.4984778,-0.023772875,0.4755757
-0.022814522,0.48337042,-0.028323926,0.47465357,28,290.0,-6.7331114,0.7,-28.1,14500.0,0.37256503105163574,5.096524238586426,30.869652271270752,265.5465729236603,72500,-2.4984124,0.046445496,1450.0,0.6,-31.78,72500.0,0.6801908,2.498892,1.586639,-0.024001986,0.4979772,-0.027865082,0.47484535
-0.027074713,0.4832424,-0.03420767,0.47443014,29,300.0,-1.2800055,1.0,-8.3,15000.0,0.38372111320495605,5.028738260269165,31.125976085662842,266.25559282302856,75000,-2.494021,0.04672628,1500.0,0.76,-27.88,75000.0,0.68402857,1.8200564,1.2675848,-0.025908722,0.4977162,-0.033475716,0.47454852
-0.02895781,0.48389763,-0.036611974,0.47502634,30,310.0,-4.181163,0.7,-23.1,15500.0,0.3712308406829834,5.060124635696411,31.576558351516724,266.31744360923767,77500,-2.4504628,0.04614892,1550.0,0.82,-27.48,77500.0,0.6858456,2.1016176,1.4687074,-0.026632413,0.49807218,-0.03576496,0.4751619
-0.028797973,0.4842873,-0.03702025,0.47558928,31,320.0,-5.253919,0.8,-21.1,16000.0,0.36620044708251953,5.161048173904419,31.99764060974121,265.11292243003845,80000,-2.430737,0.045558836,1600.0,0.84,-26.48,80000.0,0.6860797,2.2392797,1.4520363,-0.025556978,0.4981957,-0.03647681,0.4756022
-0.032497745,0.48349845,-0.04186903,0.47489154,32,330.0,-5.647925,0.7,-22.0,16500.0,0.38963937759399414,5.0790464878082275,32.6908278465271,266.11308217048645,82500,-2.3990922,0.043939754,1650.0,0.66,-29.78,82500.0,0.6905752,2.1077552,1.3825911,-0.02794202,0.49718222,-0.041326523,0.475045
-0.033290476,0.48483676,-0.042969212,0.47628868,33,340.0,-3.2095916,0.9,-17.7,17000.0,0.386303186416626,5.156921148300171,33.46150851249695,265.2835774421692,85000,-2.4015203,0.04263639,1700.0,0.72,-28.42,85000.0,0.6891639,2.4680367,1.6148678,-0.02816394,0.4982784,-0.0426592,0.47647083
-0.0324551,0.4856727,-0.042508923,0.47705972,34,350.0,-1.1547747,0.9,-11.5,17500.0,0.38644886016845703,5.103399276733398,34.035244941711426,265.3321921825409,87500,-2.4025967,0.040941987,1750.0,0.72,-32.18,87500.0,0.6866655,2.86269,1.7370337,-0.025756344,0.49898797,-0.04248219,0.4773003
-0.03279741,0.48645273,-0.042588137,0.47812495,35,360.0,-12.013634,0.4,-32.5,18000.0,0.34639835357666016,5.133256196975708,34.54615330696106,266.5908179283142,90000,-2.4058359,0.04140391,1800.0,0.68,-28.88,90000.0,0.69028544,2.6026802,1.6794828,-0.026058834,0.49896532,-0.042738706,0.4783855
-0.034760952,0.4873858,-0.044870295,0.47897765,36,370.0,-1.4871807,1.0,-9.6,18500.0,0.4512596130371094,4.976798057556152,34.87269711494446,266.449511051178,92500,-2.4082658,0.04110775,1850.0,0.68,-28.54,92500.0,0.6900196,2.3114514,1.5598187,-0.027427673,0.49974036,-0.04505282,0.4792688
-0.034655202,0.4876963,-0.045050092,0.47933266,37,380.0,-3.1242783,0.9,-16.9,19000.0,0.38792991638183594,5.057000160217285,34.947994232177734,269.0227777957916,95000,-2.412776,0.040136863,1900.0,0.62,-28.74,95000.0,0.683548,2.2511785,1.5541334,-0.02667411,0.49990827,-0.045015104,0.47963297
-0.035737444,0.48732245,-0.046883635,0.47933382,38,390.0,-4.0719137,0.8,-18.7,19500.0,0.3930959701538086,4.989064693450928,35.4600944519043,266.40189933776855,97500,-2.4162955,0.038973335,1950.0,0.66,-31.3,97500.0,0.6879436,2.1929898,1.8299886,-0.027183095,0.49899548,-0.046807162,0.47951782
-0.03507545,0.48766816,-0.04617489,0.47986996,39,400.0,-1.9423898,1.0,-12.0,20000.0,0.4531729221343994,5.047723054885864,35.65901207923889,266.57396841049194,100000,-2.4029484,0.040070903,2000.0,0.6,-28.74,100000.0,0.69204456,2.5891235,1.6358827,-0.026779,0.49870235,-0.046217747,0.47987878
-0.034420256,0.4881143,-0.04626225,0.48022306,40,410.0,-5.547069,0.8,-18.7,20500.0,0.39460301399230957,5.032135725021362,35.690550565719604,266.6325535774231,102500,-2.4294186,0.03847739,2050.0,0.64,-32.34,102500.0,0.6909548,2.1713784,1.2612442,-0.024672983,0.49903125,-0.046408385,0.48029244
-0.034531802,0.48806137,-0.046821166,0.4802556,41,420.0,-3.5523257,0.8,-16.5,21000.0,0.37725353240966797,5.100183963775635,35.73860502243042,266.8037211894989,105000,-2.4369469,0.038693495,2100.0,0.7,-30.7,105000.0,0.6914696,2.2837472,1.3539551,-0.024516944,0.49871808,-0.047029063,0.48032308
-0.033382162,0.48865402,-0.046129018,0.481108,42,430.0,-2.0553484,0.8,-14.9,21500.0,0.369962215423584,5.056531190872192,35.55992102622986,266.5891590118408,107500,-2.4192116,0.036860976,2150.0,0.72,-29.24,107500.0,0.6928457,2.1745074,1.311942,-0.023254156,0.4988519,-0.04621474,0.4811414
-0.034237325,0.4889838,-0.046932884,0.4814899,43,440.0,-4.3346596,0.8,-20.2,22000.0,0.3812136650085449,5.183370351791382,36.34048056602478,266.91549825668335,110000,-2.4372654,0.036664173,2200.0,0.76,-28.04,110000.0,0.691999,2.038457,1.2928786,-0.023744965,0.4988672,-0.047155812,0.48151967
-0.035041407,0.48838505,-0.04865137,0.48094368,44,450.0,-2.4393208,1.0,-14.5,22500.0,0.3956949710845947,4.9366655349731445,35.85696482658386,267.1071705818176,112500,-2.4251828,0.036189895,2250.0,0.66,-29.82,112500.0,0.6952362,2.3375332,1.574604,-0.023446346,0.49811035,-0.048949543,0.4809634
-0.035952643,0.48826036,-0.04990349,0.48062238,45,460.0,-2.9885688,1.0,-14.9,23000.0,0.39549827575683594,5.0479912757873535,35.928542375564575,267.9226939678192,115000,-2.4362183,0.035414945,2300.0,0.66,-31.66,115000.0,0.7011072,2.528489,1.4786717,-0.023627404,0.49822566,-0.050220862,0.4806469
-0.034797266,0.48897788,-0.04902287,0.48124442,46,470.0,-6.4225097,0.8,-24.2,23500.0,0.3865947723388672,5.106047630310059,35.91435217857361,267.1613218784332,117500,-2.4501057,0.035779044,2350.0,0.64,-30.98,117500.0,0.6969089,1.9455359,1.5290109,-0.02223161,0.4988973,-0.049336754,0.48137444
